repository,repo_url,commit_hash,author,date,message,green_aware,patterns_matched,pattern_count,confidence,files_modified,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_nloc,total_complexity,methods_count,energy_joules
LineageOS/android,https://github.com/LineageOS/android,b37015f8a2ae170e9a6071b0b880be6a88158255,Luca Stefani,2020-02-24T15:31:22+02:00,"Switch to our chromium-webview fork

* The latest webview 80 supports android Q
* TODO: Move to Tric",True,Database Views & Materialized Views,1,medium,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,c52d227b4f9cc50948ea24a21e640ea0274da430,Michael Bestas,2020-02-25T20:11:03+02:00,"manifest: Track our own external/libhevc

Change-Id: Iae97259f2c58442f02c642701c4292622af25f00",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,76173efb87f4e58293af4c78758316d3b575f665,Tom Powell,2020-02-25T18:02:13-08:00,"android: drop gitlab remote, as we don't pull from gitlab

Change-Id: Ib04757b49d19d05f727da5da0a5ec",False,,0,low,1,0,3,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,658db31104917c4614ef879434bec8c417b271b0,Luca Stefani,2020-03-03T11:51:33+01:00,"manifest: Move from android-10.0.0_r27 to android-10.0.0_r31

 * Track apifinder from AOSP

Change-I",True,,0,low,1,2,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,89f3db79f396eb6de44b77267dfd9a6ec98a6892,Aaron Kling,2019-09-06T20:26:53-05:00,"Move libcxx to our fork

Change-Id: I766a212d8b03864c4f15376895110f66800340d8",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,153918691eddced762df4cb93661be3bcfb65ae6,Luca Stefani,2020-03-27T12:05:42+02:00,"Fork system/extras

Change-Id: I04a5665920f2c4fae1a74a607591aec7a6c0350e",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,e641fb9c44618c826d5dd4ce544b2797a250e908,Luca Stefani,2020-04-09T22:01:36+02:00,"manifest: Move from android-10.0.0_r31 to android-10.0.0_r33

Change-Id: I2695bd4d97e2258acccbd01d1f",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,93fcc05b008e58ea9616565ee437233813d1c0e1,Alessandro,2020-04-06T22:23:47+02:00,"manifest: Track our own external/gptfdisk

Change-Id: I731fc4a68c116064b7fe6165f2b8a29dc706c94c",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,dbeddab0a96e54d603c01d617e1ef8a2919a48be,Kevin F. Haggerty,2020-03-07T14:10:01-07:00,"manifest: Track our own external/ppp

* Necessary in order to patch CVE-2020-8597

Change-Id: I482a1",False,Scan for Vulnerabilities,1,medium,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,53b0fc47422206a9d3d0d7b31a673beecd255f33,Aaron Kling,2020-04-20T14:51:52-05:00,"manifest: Track packages/inputmethods/LeanbackIME

Change-Id: I346510648da55a50ebc03fc4150317715d7e9",False,,0,low,1,1,0,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,e8f9969b7e9b84c4a5d552c927d8c8d7d31f6622,Nolen Johnson,2020-05-01T15:55:19-04:00,"manifest: Track additional Pixel 4{,XL} hardware repo

Change-Id: I2b2b4ddef7ab08fabf8c2fc1164084251",False,Use Energy Efficient Hardware,1,medium,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,b6cea84cff4af0eef9deb8917d5f1e9521ef051a,LuK1337,2020-05-02T19:36:41+02:00,"manifest: Sync vendor/qcom/opensource/vibrator

Change-Id: I31a4ec3f4838314d5bb6c4854c2e5aa6a825c0a1",False,,0,low,1,1,0,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,4adc1d688f1966e9288c3094835aa23502758f93,Davide Garberi,2020-05-05T01:05:34+02:00,"manifest: Move from android-10.0.0_r33 to android-10.0.0_r35

Change-Id: I8c5d4f2900e138bf5b1d87426e",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,945a9fc8662111be42e1cabfe67d7c01299dcd24,Kevin F. Haggerty,2020-05-01T08:41:42-06:00,"manifest: Use our forks of e/{cldr,icu} and s/timezone

* Necessary for tzdb updates

Change-Id: I19",True,,0,low,1,3,3,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,d2ca8aea60d0e54e90156adece8a46a332c763ca,Chirayu Desai,2020-05-09T02:08:19+05:18,"Fetch our fork of build-tools

Change-Id: I2191ba7d798fffb5bf5792de3cdb9034b144fd0f",True,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,0dbc6327264622b635e357f3bb3d339194da18d5,LuK1337,2020-05-06T02:16:43+02:00,"manifest: Replace Calendar with Etar

Change-Id: If8a5786ee40cc8a20931eddfee51ed028155315a",False,,0,low,2,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,35fe670d857a6feb3a02c45cb154ac43a775432a,Neil Fuller,2019-07-19T16:46:32+01:00,"Remove unused frameworks/opt/datetimepicker

The code has Y2038 issues via android.text.format.Time.",True,"Delete Unused Storage Resources, Remove Unused Assets, Enable Text Compression, Remove Unused CSS, Serve Images in Modern Formats, Efficient Format for Model Training",6,high,1,0,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,56491b1af74d5cfa7bbeb8c0b7e0a38344a0c7c9,Michael W,2020-05-07T12:31:44+02:00,"android: Move to our own fork of timezonepicker

Change-Id: I699809d128d21cbc48ef32730baac57d43a54f9",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,2cb0f81ace4c6c336e513a557ae08b287cb99ce0,Han Wang,2020-06-01T12:04:17+02:00,"manifest: Switch to our external/libtextclassifier fork

Change-Id: Iec83239ce5f47e8625c0d6dea6fc001",False,Enable Text Compression,1,medium,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,4426c2f661b65662a8717285877c67b9665ac6c1,Kevin F. Haggerty,2020-06-01T16:52:09-06:00,"manifest: android-10.0.0_r35 -> android-10.0.0_r37

Change-Id: Ic805bbef0d77dcffb21785a6c9354da1cb89",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,9ff371afacb44317922539063f07c4f0b437fedf,Kevin F. Haggerty,2020-06-02T01:00:25-06:00,"manifest: Track additional projects introduced in android-10.0.0_r37

Change-Id: I8d091d335f88c76048",False,,0,low,1,1,0,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,5e6813e9523f6e52532e70e05d379ca6b7a80916,Han Wang,2020-06-25T14:45:13+02:00,"manifest: Switch to our external/skia fork

Change-Id: Ia0d205968ebc824bb02beba665f5bd5a42c3c501",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,7756768e4aa9de8a30431986de18c3143a1ee18d,Pig,2020-05-24T17:20:21+02:00,"lineage: Track QTI BT repos

Change-Id: I24995a166d3772dfb119a5a7b8406ee477029aff",False,,0,low,1,4,0,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,53f057c9b52eefd6bef730cf545f45960b7e3a5d,LuK1337,2020-06-25T16:32:51+02:00,"manifest: Sync sm8250 HALs

Change-Id: I041271a32e7d0dd616bde9942ba544c81c1367e3",False,,0,low,1,5,0,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,a0636077c37acd530c7c3c5a5acfb35d375dc380,Nolen Johnson,2020-06-30T12:51:27-04:00,"manifest: Track AOSP TV app

* Back on 14.1 the planned additions for this never
  actually panned o",True,API Gateway Pattern,1,medium,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,c42e39b5746eb64a4bfd61295f3dddc135928660,Kevin F. Haggerty,2020-07-06T14:17:34-06:00,"manifest: android-10.0.0_r37 -> android-10.0.0_r40

Change-Id: I814f32ad61f75bb3098576e27e3db17b1790",True,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,486feedcc841f404c35e4321fd6db7fca55b7621,Kevin F. Haggerty,2020-08-03T12:13:35-06:00,"manifest: android-10.0.0_r40 -> android-10.0.0_r41

Change-Id: I7e29f1f2d758f9d33b04a4d0bbd8e1ec1160",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,cd746b0823671f1b43c0ef98c5398518448c1ff5,Luca Stefani,2020-08-05T11:46:26+02:00,"Switch to our system/libufdt fork

Change-Id: I4b14f9cfda2ed4a28c610e068eeaf2a645251350",False,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,54bb6d652d7b711deae5bf3742972c1c533d79e9,Michael Bestas,2020-09-09T03:31:32+03:00,"Initial manifest for Android 11

Change-Id: Icd6eeac35c2272947cbdff60c3ae7d76e4422b39",False,,0,low,3,366,286,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,583440ba3e32d873a4130c3d04e4ccd10b87e8c7,Han Wang,2020-09-19T18:06:44+02:00,"manifest: Switch to our bionic fork

Change-Id: I7de93ffa45f9723546f26db6712060bf5a9f66f1",True,,0,low,1,1,1,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,c09b572eda3554b361a8e79d82909e69abf862a2,LuK1337,2020-09-15T14:37:01+02:00,"manifest: Reenable updated external repos

Change-Id: Ia11aa5e5391c2ebe3d5f4e5e01dded57e5549d64",False,,0,low,1,12,12,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,3b8f0edf7216ac1ef66215d11f9441f6dea4d6f9,Pig,2020-09-20T21:19:16+08:00,"manifest: Reenable our sepolicy forks

Change-Id: Ibafe7cb12c93f03d1446e8b264eb0ef5cfbf25a5",False,Set Retention Policy on Storage,1,medium,2,4,3,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,ca74391242eba6e6479aae0109bd77b9ca60b5e1,Pig,2020-09-20T21:25:31+08:00,"lineage: Reenable ANT+ repos

Change-Id: I24fdcdbebbdc4c9c0c3d576fd503370e92083eba",True,,0,low,1,5,3,,,,0,0,0,
LineageOS/android,https://github.com/LineageOS/android,2fcc2ac16f1f4145de6e9024a6cd09aa6d99bb27,Jan Altensen,2020-09-21T22:25:34+02:00,"manifest: switch to more of our forks

Change-Id: I103437dbefa80f8614a606d442661e7c3b195b8c",True,,0,low,1,4,4,,,,0,0,0,
